         x       f(x)       g(x)
    -3.515      0.365     -0.436
    -3.416      0.271     -0.680
    -3.317      0.174     -0.865
    -3.218      0.076     -0.974
    -3.119     -0.023     -0.998
    -3.020     -0.121     -0.934
    -2.921     -0.219     -0.789
    -2.822     -0.314     -0.574
    -2.723     -0.407     -0.309
    -2.624     -0.495     -0.017
    -2.525     -0.578      0.276
    -2.426     -0.656      0.545
    -2.327     -0.728      0.767
    -2.228     -0.792      0.921
    -2.129     -0.848      0.995
    -2.030     -0.897      0.981
    -1.931     -0.936      0.882
    -1.832     -0.966      0.705
    -1.733     -0.987      0.467
    -1.634     -0.998      0.187
    -1.535     -0.999     -0.108
    -1.436     -0.991     -0.394
    -1.337     -0.973     -0.646
    -1.238     -0.945     -0.841
    -1.139     -0.908     -0.963
    -1.040     -0.862     -1.000
    -0.941     -0.808     -0.949
    -0.842     -0.746     -0.816
    -0.743     -0.676     -0.611
    -0.644     -0.600     -0.352
    -0.545     -0.518     -0.063
    -0.446     -0.431      0.232
    -0.347     -0.340      0.507
    -0.248     -0.245      0.737
    -0.149     -0.148      0.902
    -0.050     -0.049      0.989
     0.050      0.049      0.989
     0.149      0.148      0.902
     0.248      0.245      0.737
     0.347      0.340      0.507
     0.446      0.431      0.232
     0.545      0.518     -0.063
     0.644      0.600     -0.352
     0.743      0.676     -0.611
     0.842      0.746     -0.816
     0.941      0.808     -0.949
     1.040      0.862     -1.000
     1.139      0.908     -0.963
     1.238      0.945     -0.841
     1.337      0.973     -0.646
     1.436      0.991     -0.394
     1.535      0.999     -0.108
     1.634      0.998      0.187
     1.733      0.987      0.467
     1.832      0.966      0.705
     1.931      0.936      0.882
     2.030      0.897      0.981
     2.129      0.848      0.995
     2.228      0.792      0.921
     2.327      0.728      0.767
     2.426      0.656      0.545
     2.525      0.578      0.276
     2.624      0.495     -0.017
     2.723      0.407     -0.309
     2.822      0.314     -0.574
     2.921      0.219     -0.789
     3.020      0.121     -0.934
     3.119      0.023     -0.998
     3.218     -0.076     -0.974
     3.317     -0.174     -0.865
     3.416     -0.271     -0.680
     3.515     -0.365     -0.436
     3.614     -0.455     -0.153
     3.713     -0.541      0.143
     3.812     -0.621      0.426
     3.911     -0.696      0.672
     4.010     -0.763      0.859
     4.109     -0.823      0.971
     4.208     -0.875      0.998
     4.307     -0.919      0.938
     4.406     -0.953      0.795
     4.505     -0.979      0.583
     4.604     -0.994      0.320
     4.703     -1.000      0.028
     4.802     -0.996     -0.266
     4.901     -0.982     -0.536
         x       f(x)       g(x)
    -5.000      0.959      0.408
    -4.901      0.982      0.729
    -4.802      0.996      0.936
    -4.703      1.000      0.999
    -4.604      0.994      0.907
    -4.505      0.979      0.675
    -4.406      0.953      0.338
    -4.307      0.919     -0.051
    -4.208      0.875     -0.432
    -4.109      0.823     -0.747
    -4.010      0.763     -0.946
    -3.911      0.696     -0.998
    -3.812      0.621     -0.896
    -3.713      0.541     -0.655
    -3.614      0.455     -0.313
    -3.515      0.365      0.078
    -3.416      0.271      0.456
    -3.317      0.174      0.764
    -3.218      0.076      0.954
    -3.119     -0.023      0.996
    -3.020     -0.121      0.884
    -2.921     -0.219      0.635
    -2.822     -0.314      0.287
    -2.723     -0.407     -0.104
    -2.624     -0.495     -0.480
    -2.525     -0.578     -0.781
    -2.426     -0.656     -0.962
    -2.327     -0.728     -0.993
    -2.228     -0.792     -0.871
    -2.129     -0.848     -0.614
    -2.030     -0.897     -0.262
    -1.931     -0.936      0.131
    -1.832     -0.966      0.503
    -1.733     -0.987      0.798
    -1.634     -0.998      0.969
    -1.535     -0.999      0.990
    -1.436     -0.991      0.857
    -1.337     -0.973      0.592
    -1.238     -0.945      0.236
    -1.139     -0.908     -0.157
    -1.040     -0.862     -0.526
    -0.941     -0.808     -0.813
    -0.842     -0.746     -0.975
    -0.743     -0.676     -0.985
    -0.644     -0.600     -0.843
    -0.545     -0.518     -0.571
    -0.446     -0.431     -0.210
    -0.347     -0.340      0.184
    -0.248     -0.245      0.549
    -0.149     -0.148      0.829
    -0.050     -0.049      0.980
     0.050      0.049      0.980
     0.149      0.148      0.829
     0.248      0.245      0.549
     0.347      0.340      0.184
     0.446      0.431     -0.210
     0.545      0.518     -0.571
     0.644      0.600     -0.843
     0.743      0.676     -0.985
     0.842      0.746     -0.975
     0.941      0.808     -0.813
     1.040      0.862     -0.526
     1.139      0.908     -0.157
     1.238      0.945      0.236
     1.337      0.973      0.592
     1.436      0.991      0.857
     1.535      0.999      0.990
     1.634      0.998      0.969
     1.733      0.987      0.798
     1.832      0.966      0.503
     1.931      0.936      0.131
     2.030      0.897     -0.262
     2.129      0.848     -0.614
     2.228      0.792     -0.871
     2.327      0.728     -0.993
     2.426      0.656     -0.962
     2.525      0.578     -0.781
     2.624      0.495     -0.480
     2.723      0.407     -0.104
     2.822      0.314      0.287
     2.921      0.219      0.635
     3.020      0.121      0.884
     3.119      0.023      0.996
     3.218     -0.076      0.954
     3.317     -0.174      0.764
     3.416     -0.271      0.456
     3.515     -0.365      0.078
     3.614     -0.455     -0.313
     3.713     -0.541     -0.655
     3.812     -0.621     -0.896
     3.911     -0.696     -0.998
     4.010     -0.763     -0.946
     4.109     -0.823     -0.747
     4.208     -0.875     -0.432
     4.307     -0.919     -0.051
     4.406     -0.953      0.338
     4.505     -0.979      0.675
     4.604     -0.994      0.907
     4.703     -1.000      0.999
     4.802     -0.996      0.936
     4.901     -0.982      0.729
         x       f(x)       g(x)
    -5.000      0.959      0.991
    -4.901      0.982      0.809
    -4.802      0.996      0.433
    -4.703      1.000     -0.047
    -4.604      0.994     -0.516
    -4.505      0.979     -0.861
    -4.406      0.953     -0.999
    -4.307      0.919     -0.898
    -4.208      0.875     -0.580
    -4.109      0.823     -0.124
