         x       f(x)       g(x)
    -0.941     -0.952     -0.009
    -0.842     -0.994     -0.483
    -0.743     -0.996     -0.841
    -0.644     -0.960     -0.997
    -0.545     -0.886     -0.914
    -0.446     -0.778     -0.611
    -0.347     -0.639     -0.161
    -0.248     -0.475      0.327
    -0.149     -0.293      0.737
    -0.050     -0.099      0.970
     0.050      0.099      0.970
     0.149      0.293      0.737
     0.248      0.475      0.327
     0.347      0.639     -0.161
     0.446      0.778     -0.611
     0.545      0.886     -0.914
     0.644      0.960     -0.997
     0.743      0.996     -0.841
     0.842      0.994     -0.483
     0.941      0.952     -0.009
     1.040      0.874      0.467
     1.139      0.761      0.831
     1.238      0.618      0.995
     1.337      0.451      0.921
     1.436      0.267      0.625
     1.535      0.072      0.180
     1.634     -0.125     -0.309
     1.733     -0.318     -0.724
     1.832     -0.498     -0.965
     1.931     -0.659     -0.974
     2.030     -0.794     -0.749
     2.129     -0.898     -0.345
     2.228     -0.967      0.143
     2.327     -0.998      0.596
     2.426     -0.990      0.906
     2.525     -0.944      0.998
     2.624     -0.860      0.851
     2.723     -0.743      0.500
     2.822     -0.597      0.028
     2.921     -0.427     -0.450
     3.020     -0.241     -0.820
     3.119     -0.046     -0.994
     3.218      0.152     -0.928
     3.317      0.343     -0.640
     3.416      0.521     -0.198
     3.515      0.679      0.291
     3.614      0.810      0.711
     3.713      0.910      0.960
     3.812      0.974      0.978
     3.911      0.999      0.762
     4.010      0.986      0.362
     4.109      0.935     -0.124
     4.208      0.846     -0.580
     4.307      0.725     -0.898
     4.406      0.575     -0.999
     4.505      0.403     -0.861
     4.604      0.215     -0.516
     4.703      0.019     -0.047
     4.802     -0.178      0.433
     4.901     -0.368      0.809
         x       f(x)       g(x)
    -5.000     -0.650      0.284
    -4.901     -0.844      0.187
    -4.802     -0.964      0.089
    -4.703     -1.000     -0.009
    -4.604     -0.948     -0.108
    -4.505     -0.813     -0.206
    -4.406     -0.606     -0.302
    -4.307     -0.347     -0.394
    -4.208     -0.057     -0.483
    -4.109      0.237     -0.568
    -4.010      0.511     -0.646
    -3.911      0.740     -0.718
    -3.812      0.905     -0.784
    -3.713      0.990     -0.841
    -3.614      0.988     -0.891
    -3.515      0.900     -0.931
    -3.416      0.733     -0.963
    -3.317      0.502     -0.985
    -3.218      0.227     -0.997
    -3.119     -0.068     -1.000
    -3.020     -0.357     -0.993
    -2.921     -0.615     -0.976
    -2.822     -0.819     -0.949
    -2.723     -0.951     -0.914
    -2.624     -1.000     -0.869
    -2.525     -0.961     -0.816
    -2.426     -0.838     -0.755
    -2.327     -0.642     -0.686
    -2.228     -0.389     -0.611
    -2.129     -0.103     -0.529
    -2.030      0.193     -0.443
    -1.931      0.472     -0.352
    -1.832      0.709     -0.258
    -1.733      0.884     -0.161
    -1.634      0.982     -0.063
    -1.535      0.994      0.036
    -1.436      0.919      0.135
    -1.337      0.763      0.232
    -1.238      0.541      0.327
    -1.139      0.271      0.419
    -1.040     -0.023      0.507
    -0.941     -0.314      0.589
    -0.842     -0.578      0.666
    -0.743     -0.792      0.737
    -0.644     -0.936      0.800
    -0.545     -0.998      0.855
    -0.446     -0.973      0.902
    -0.347     -0.862      0.941
    -0.248     -0.676      0.970
    -0.149     -0.431      0.989
    -0.050     -0.148      0.999
     0.050      0.148      0.999
     0.149      0.431      0.989
     0.248      0.676      0.970
     0.347      0.862      0.941
     0.446      0.973      0.902
     0.545      0.998      0.855
     0.644      0.936      0.800
     0.743      0.792      0.737
     0.842      0.578      0.666
     0.941      0.314      0.589
     1.040      0.023      0.507
     1.139     -0.271      0.419
     1.238     -0.541      0.327
     1.337     -0.763      0.232
     1.436     -0.919      0.135
     1.535     -0.994      0.036
     1.634     -0.982     -0.063
     1.733     -0.884     -0.161
     1.832     -0.709     -0.258
     1.931     -0.472     -0.352
     2.030     -0.193     -0.443
     2.129      0.103     -0.529
     2.228      0.389     -0.611
     2.327      0.642     -0.686
     2.426      0.838     -0.755
     2.525      0.961     -0.816
     2.624      1.000     -0.869
     2.723      0.951     -0.914
     2.822      0.819     -0.949
     2.921      0.615     -0.976
     3.020      0.357     -0.993
     3.119      0.068     -1.000
     3.218     -0.227     -0.997
     3.317     -0.502     -0.985
     3.416     -0.733     -0.963
     3.515     -0.900     -0.931
     3.614     -0.988     -0.891
     3.713     -0.990     -0.841
     3.812     -0.905     -0.784
     3.911     -0.740     -0.718
     4.010     -0.511     -0.646
     4.109     -0.237     -0.568
     4.208      0.057     -0.483
     4.307      0.347     -0.394
     4.406      0.606     -0.302
     4.505      0.813     -0.206
     4.604      0.948     -0.108
     4.703      1.000     -0.009
     4.802      0.964      0.089
     4.901      0.844      0.187
         x       f(x)       g(x)
    -5.000     -0.650     -0.839
    -4.901     -0.844     -0.930
    -4.802     -0.964     -0.984
    -4.703     -1.000     -1.000
    -4.604     -0.948     -0.977
    -4.505     -0.813     -0.915
    -4.406     -0.606     -0.818
    -4.307     -0.347     -0.689
    -4.208     -0.057     -0.533
    -4.109      0.237     -0.356
    -4.010      0.511     -0.165
    -3.911      0.740      0.032
    -3.812      0.905      0.228
    -3.713      0.990      0.415
    -3.614      0.988      0.586
    -3.515      0.900      0.734
    -3.416      0.733      0.853
    -3.317      0.502      0.939
    -3.218      0.227      0.988
    -3.119     -0.068      0.999
    -3.020     -0.357      0.970
    -2.921     -0.615      0.904
    -2.822     -0.819      0.802
    -2.723     -0.951      0.669
    -2.624     -1.000      0.510
    -2.525     -0.961      0.331
    -2.426     -0.838      0.139
    -2.327     -0.642     -0.059
    -2.228     -0.389     -0.254
    -2.129     -0.103     -0.439
    -2.030      0.193     -0.608
    -1.931      0.472     -0.752
    -1.832      0.709     -0.867
    -1.733      0.884     -0.948
    -1.634      0.982     -0.992
    -1.535      0.994     -0.997
    -1.436      0.919     -0.964
    -1.337      0.763     -0.892
    -1.238      0.541     -0.786
    -1.139      0.271     -0.649
    -1.040     -0.023     -0.487
    -0.941     -0.314     -0.305
    -0.842     -0.578     -0.112
    -0.743     -0.792      0.086
    -0.644     -0.936      0.280
    -0.545     -0.998      0.463
    -0.446     -0.973      0.629
    -0.347     -0.862      0.769
    -0.248     -0.676      0.880
    -0.149     -0.431      0.956
    -0.050     -0.148      0.995
     0.050      0.148      0.995
     0.149      0.431      0.956
     0.248      0.676      0.880
     0.347      0.862      0.769
     0.446      0.973      0.629
     0.545      0.998      0.463
     0.644      0.936      0.280
     0.743      0.792      0.086
     0.842      0.578     -0.112
     0.941      0.314     -0.305
     1.040      0.023     -0.487
     1.139     -0.271     -0.649
     1.238     -0.541     -0.786
     1.337     -0.763     -0.892
     1.436     -0.919     -0.964
     1.535     -0.994     -0.997
     1.634     -0.982     -0.992
     1.733     -0.884     -0.948
     1.832     -0.709     -0.867
     1.931     -0.472     -0.752
     2.030     -0.193     -0.608
     2.129      0.103     -0.439
     2.228      0.389     -0.254
     2.327      0.642     -0.059
     2.426      0.838      0.139
     2.525      0.961      0.331
     2.624      1.000      0.510
     2.723      0.951      0.669
     2.822      0.819      0.802
     2.921      0.615      0.904
     3.020      0.357      0.970
     3.119      0.068      0.999
     3.218     -0.227      0.988
     3.317     -0.502      0.939
     3.416     -0.733      0.853
     3.515     -0.900      0.734
     3.614     -0.988      0.586
     3.713     -0.990      0.415
     3.812     -0.905      0.228
     3.911     -0.740      0.032
     4.010     -0.511     -0.165
     4.109     -0.237     -0.356
     4.208      0.057     -0.533
     4.307      0.347     -0.689
     4.406      0.606     -0.818
     4.505      0.813     -0.915
     4.604      0.948     -0.977
     4.703      1.000     -1.000
     4.802      0.964     -0.984
     4.901      0.844     -0.930
         x       f(x)       g(x)
    -5.000     -0.650     -0.760
    -4.901     -0.844     -0.536
    -4.802     -0.964     -0.266
    -4.703     -1.000      0.028
    -4.604     -0.948      0.320
    -4.505     -0.813      0.583
    -4.406     -0.606      0.795
    -4.307     -0.347      0.938
    -4.208     -0.057      0.998
    -4.109      0.237      0.971
    -4.010      0.511      0.859
    -3.911      0.740      0.672
    -3.812      0.905      0.426
    -3.713      0.990      0.143
    -3.614      0.988     -0.153
    -3.515      0.900     -0.436
    -3.416      0.733     -0.680
    -3.317      0.502     -0.865
    -3.218      0.227     -0.974
    -3.119     -0.068     -0.998
    -3.020     -0.357     -0.934
    -2.921     -0.615     -0.789
    -2.822     -0.819     -0.574
    -2.723     -0.951     -0.309
    -2.624     -1.000     -0.017
    -2.525     -0.961      0.276
    -2.426     -0.838      0.545
    -2.327     -0.642      0.767
    -2.228     -0.389      0.921
    -2.129     -0.103      0.995
    -2.030      0.193      0.981
    -1.931      0.472      0.882
    -1.832      0.709      0.705
    -1.733      0.884      0.467
    -1.634      0.982      0.187
    -1.535      0.994     -0.108
    -1.436      0.919     -0.394
    -1.337      0.763     -0.646
    -1.238      0.541     -0.841
    -1.139      0.271     -0.963
    -1.040     -0.023     -1.000
    -0.941     -0.314     -0.949
    -0.842     -0.578     -0.816
    -0.743     -0.792     -0.611
    -0.644     -0.936     -0.352
    -0.545     -0.998     -0.063
    -0.446     -0.973      0.232
    -0.347     -0.862      0.507
    -0.248     -0.676      0.737
    -0.149     -0.431      0.902
    -0.050     -0.148      0.989
     0.050      0.148      0.989
     0.149      0.431      0.902
     0.248      0.676      0.737
     0.347      0.862      0.507
     0.446      0.973      0.232
     0.545      0.998     -0.063
     0.644      0.936     -0.352
     0.743      0.792     -0.611
     0.842      0.578     -0.816
     0.941      0.314     -0.949
     1.040      0.023     -1.000
     1.139     -0.271     -0.963
     1.238     -0.541     -0.841
     1.337     -0.763     -0.646
     1.436     -0.919     -0.394
     1.535     -0.994     -0.108
     1.634     -0.982      0.187
     1.733     -0.884      0.467
     1.832     -0.709      0.705
     1.931     -0.472      0.882
     2.030     -0.193      0.981
     2.129      0.103      0.995
     2.228      0.389      0.921
     2.327      0.642      0.767
     2.426      0.838      0.545
     2.525      0.961      0.276
     2.624      1.000     -0.017
     2.723      0.951     -0.309
     2.822      0.819     -0.574
     2.921      0.615     -0.789
     3.020      0.357     -0.934
     3.119      0.068     -0.998
     3.218     -0.227     -0.974
     3.317     -0.502     -0.865
     3.416     -0.733     -0.680
     3.515     -0.900     -0.436
     3.614     -0.988     -0.153
     3.713     -0.990      0.143
     3.812     -0.905      0.426
     3.911     -0.740      0.672
     4.010     -0.511      0.859
     4.109     -0.237      0.971
     4.208      0.057      0.998
     4.307      0.347      0.938
     4.406      0.606      0.795
     4.505      0.813      0.583
     4.604      0.948      0.320
     4.703      1.000      0.028
     4.802      0.964     -0.266
     4.901      0.844     -0.536
         x       f(x)       g(x)
    -5.000     -0.650      0.408
    -4.901     -0.844      0.729
    -4.802     -0.964      0.936
    -4.703     -1.000      0.999
    -4.604     -0.948      0.907
    -4.505     -0.813      0.675
    -4.406     -0.606      0.338
    -4.307     -0.347     -0.051
    -4.208     -0.057     -0.432
    -4.109      0.237     -0.747
    -4.010      0.511     -0.946
    -3.911      0.740     -0.998
    -3.812      0.905     -0.896
    -3.713      0.990     -0.655
    -3.614      0.988     -0.313
    -3.515      0.900      0.078
    -3.416      0.733      0.456
    -3.317      0.502      0.764
    -3.218      0.227      0.954
    -3.119     -0.068      0.996
    -3.020     -0.357      0.884
    -2.921     -0.615      0.635
    -2.822     -0.819      0.287
    -2.723     -0.951     -0.104
    -2.624     -1.000     -0.480
    -2.525     -0.961     -0.781
    -2.426     -0.838     -0.962
    -2.327     -0.642     -0.993
    -2.228     -0.389     -0.871
    -2.129     -0.103     -0.614
    -2.030      0.193     -0.262
    -1.931      0.472      0.131
    -1.832      0.709      0.503
    -1.733      0.884      0.798
    -1.634      0.982      0.969
    -1.535      0.994      0.990
    -1.436      0.919      0.857
    -1.337      0.763      0.592
    -1.238      0.541      0.236
    -1.139      0.271     -0.157
    -1.040     -0.023     -0.526
    -0.941     -0.314     -0.813
    -0.842     -0.578     -0.975
    -0.743     -0.792     -0.985
    -0.644     -0.936     -0.843
    -0.545     -0.998     -0.571
    -0.446     -0.973     -0.210
    -0.347     -0.862      0.184
    -0.248     -0.676      0.549
    -0.149     -0.431      0.829
    -0.050     -0.148      0.980
     0.050      0.148      0.980
     0.149      0.431      0.829
     0.248      0.676      0.549
     0.347      0.862      0.184
     0.446      0.973     -0.210
     0.545      0.998     -0.571
     0.644      0.936     -0.843
     0.743      0.792     -0.985
     0.842      0.578     -0.975
     0.941      0.314     -0.813
     1.040      0.023     -0.526
     1.139     -0.271     -0.157
     1.238     -0.541      0.236
     1.337     -0.763      0.592
     1.436     -0.919      0.857
     1.535     -0.994      0.990
     1.634     -0.982      0.969
     1.733     -0.884      0.798
     1.832     -0.709      0.503
     1.931     -0.472      0.131
     2.030     -0.193     -0.262
     2.129      0.103     -0.614
     2.228      0.389     -0.871
     2.327      0.642     -0.993
     2.426      0.838     -0.962
     2.525      0.961     -0.781
     2.624      1.000     -0.480
     2.723      0.951     -0.104
     2.822      0.819      0.287
     2.921      0.615      0.635
     3.020      0.357      0.884
     3.119      0.068      0.996
     3.218     -0.227      0.954
     3.317     -0.502      0.764
     3.416     -0.733      0.456
     3.515     -0.900      0.078
     3.614     -0.988     -0.313
     3.713     -0.990     -0.655
     3.812     -0.905     -0.896
     3.911     -0.740     -0.998
     4.010     -0.511     -0.946
     4.109     -0.237     -0.747
     4.208      0.057     -0.432
     4.307      0.347     -0.051
     4.406      0.606      0.338
     4.505      0.813      0.675
     4.604      0.948      0.907
     4.703      1.000      0.999
     4.802      0.964      0.936
     4.901      0.844      0.729
         x       f(x)       g(x)
    -5.000     -0.650      0.991
    -4.901     -0.844      0.809
    -4.802     -0.964      0.433
    -4.703     -1.000     -0.047
    -4.604     -0.948     -0.516
    -4.505     -0.813     -0.861
    -4.406     -0.606     -0.999
    -4.307     -0.347     -0.898
    -4.208     -0.057     -0.580
    -4.109      0.237     -0.124
    -4.010      0.511      0.362
    -3.911      0.740      0.762
    -3.812      0.905      0.978
    -3.713      0.990      0.960
    -3.614      0.988      0.711
    -3.515      0.900      0.291
    -3.416      0.733     -0.198
    -3.317      0.502     -0.640
    -3.218      0.227     -0.928
    -3.119     -0.068     -0.994
    -3.020     -0.357     -0.820
    -2.921     -0.615     -0.450
    -2.822     -0.819      0.028
    -2.723     -0.951      0.500
    -2.624     -1.000      0.851
    -2.525     -0.961      0.998
    -2.426     -0.838      0.906
    -2.327     -0.642      0.596
    -2.228     -0.389      0.143
    -2.129     -0.103     -0.345
    -2.030      0.193     -0.749
    -1.931      0.472     -0.974
    -1.832      0.709     -0.965
    -1.733      0.884     -0.724
    -1.634      0.982     -0.309
    -1.535      0.994      0.180
    -1.436      0.919      0.625
    -1.337      0.763      0.921
    -1.238      0.541      0.995
    -1.139      0.271      0.831
    -1.040     -0.023      0.467
    -0.941     -0.314     -0.009
    -0.842     -0.578     -0.483
    -0.743     -0.792     -0.841
    -0.644     -0.936     -0.997
    -0.545     -0.998     -0.914
    -0.446     -0.973     -0.611
    -0.347     -0.862     -0.161
    -0.248     -0.676      0.327
    -0.149     -0.431      0.737
    -0.050     -0.148      0.970
     0.050      0.148      0.970
     0.149      0.431      0.737
     0.248      0.676      0.327
     0.347      0.862     -0.161
     0.446      0.973     -0.611
     0.545      0.998     -0.914
     0.644      0.936     -0.997
     0.743      0.792     -0.841
     0.842      0.578     -0.483
     0.941      0.314     -0.009
     1.040      0.023      0.467
     1.139     -0.271      0.831
     1.238     -0.541      0.995
     1.337     -0.763      0.921
     1.436     -0.919      0.625
     1.535     -0.994      0.180
     1.634     -0.982     -0.309
     1.733     -0.884     -0.724
     1.832     -0.709     -0.965
     1.931     -0.472     -0.974
     2.030     -0.193     -0.749
     2.129      0.103     -0.345
     2.228      0.389      0.143
     2.327      0.642      0.596
     2.426      0.838      0.906
     2.525      0.961      0.998
     2.624      1.000      0.851
     2.723      0.951      0.500
     2.822      0.819      0.028
     2.921      0.615     -0.450
     3.020      0.357     -0.820
     3.119      0.068     -0.994
     3.218     -0.227     -0.928
     3.317     -0.502     -0.640
     3.416     -0.733     -0.198
     3.515     -0.900      0.291
     3.614     -0.988      0.711
     3.713     -0.990      0.960
     3.812     -0.905      0.978
     3.911     -0.740      0.762
     4.010     -0.511      0.362
     4.109     -0.237     -0.124
     4.208      0.057     -0.580
     4.307      0.347     -0.898
     4.406      0.606     -0.999
     4.505      0.813     -0.861
     4.604      0.948     -0.516
     4.703      1.000     -0.047
     4.802      0.964      0.433
     4.901      0.844      0.809
         x       f(x)       g(x)
    -5.000     -0.913      0.284
    -4.901     -0.685      0.187
    -4.802     -0.351      0.089
    -4.703      0.038     -0.009
    -4.604      0.420     -0.108
    -4.505      0.738     -0.206
    -4.406      0.941     -0.302
    -4.307      0.999     -0.394
    -4.208      0.902     -0.483
    -4.109      0.665     -0.568
    -4.010      0.326     -0.646
    -3.911     -0.064     -0.718
    -3.812     -0.444     -0.784
    -3.713     -0.756     -0.841
    -3.614     -0.950     -0.891
    -3.515     -0.997     -0.931
    -3.416     -0.890     -0.963
    -3.317     -0.645     -0.985
    -3.218     -0.300     -0.997
    -3.119      0.091     -1.000
    -3.020      0.468     -0.993
    -2.921      0.773     -0.976
    -2.822      0.958     -0.949
    -2.723      0.995     -0.914
    -2.624      0.877     -0.869
    -2.525      0.624     -0.816
    -2.426      0.275     -0.755
    -2.327     -0.118     -0.686
    -2.228     -0.492     -0.611
    -2.129     -0.789     -0.529
    -2.030     -0.965     -0.443
    -1.931     -0.991     -0.352
    -1.832     -0.864     -0.258
    -1.733     -0.603     -0.161
    -1.634     -0.249     -0.063
    -1.535      0.144      0.036
    -1.436      0.515      0.135
    -1.337      0.806      0.232
    -1.238      0.972      0.327
    -1.139      0.988      0.419
    -1.040      0.850      0.507
    -0.941      0.582      0.589
    -0.842      0.223      0.666
    -0.743     -0.170      0.737
    -0.644     -0.537      0.800
    -0.545     -0.821      0.855
    -0.446     -0.978      0.902
    -0.347     -0.983      0.941
    -0.248     -0.836      0.970
    -0.149     -0.560      0.989
    -0.050     -0.197      0.999
     0.050      0.197      0.999
     0.149      0.560      0.989
     0.248      0.836      0.970
     0.347      0.983      0.941
     0.446      0.978      0.902
     0.545      0.821      0.855
     0.644      0.537      0.800
     0.743      0.170      0.737
     0.842     -0.223      0.666
     0.941     -0.582      0.589
     1.040     -0.850      0.507
     1.139     -0.988      0.419
     1.238     -0.972      0.327
     1.337     -0.806      0.232
     1.436     -0.515      0.135
     1.535     -0.144      0.036
     1.634      0.249     -0.063
     1.733      0.603     -0.161
     1.832      0.864     -0.258
     1.931      0.991     -0.352
     2.030      0.965     -0.443
     2.129      0.789     -0.529
     2.228      0.492     -0.611
     2.327      0.118     -0.686
     2.426     -0.275     -0.755
     2.525     -0.624     -0.816
     2.624     -0.877     -0.869
     2.723     -0.995     -0.914
     2.822     -0.958     -0.949
     2.921     -0.773     -0.976
     3.020     -0.468     -0.993
     3.119     -0.091     -1.000
     3.218      0.300     -0.997
     3.317      0.645     -0.985
     3.416      0.890     -0.963
     3.515      0.997     -0.931
     3.614      0.950     -0.891
     3.713      0.756     -0.841
     3.812      0.444     -0.784
     3.911      0.064     -0.718
     4.010     -0.326     -0.646
     4.109     -0.665     -0.568
     4.208     -0.902     -0.483
     4.307     -0.999     -0.394
     4.406     -0.941     -0.302
     4.505     -0.738     -0.206
     4.604     -0.420     -0.108
     4.703     -0.038     -0.009
     4.802      0.351      0.089
     4.901      0.685      0.187
         x       f(x)       g(x)
    -5.000     -0.913     -0.839
    -4.901     -0.685     -0.930
    -4.802     -0.351     -0.984
    -4.703      0.038     -1.000
    -4.604      0.420     -0.977
    -4.505      0.738     -0.915
    -4.406      0.941     -0.818
    -4.307      0.999     -0.689
    -4.208      0.902     -0.533
    -4.109      0.665     -0.356
    -4.010      0.326     -0.165
    -3.911     -0.064      0.032
    -3.812     -0.444      0.228
    -3.713     -0.756      0.415
    -3.614     -0.950      0.586
    -3.515     -0.997      0.734
    -3.416     -0.890      0.853
    -3.317     -0.645      0.939
    -3.218     -0.300      0.988
    -3.119      0.091      0.999
    -3.020      0.468      0.970
    -2.921      0.773      0.904
    -2.822      0.958      0.802
    -2.723      0.995      0.669
    -2.624      0.877      0.510
    -2.525      0.624      0.331
    -2.426      0.275      0.139
    -2.327     -0.118     -0.059
    -2.228     -0.492     -0.254
    -2.129     -0.789     -0.439
    -2.030     -0.965     -0.608
    -1.931     -0.991     -0.752
    -1.832     -0.864     -0.867
    -1.733     -0.603     -0.948
    -1.634     -0.249     -0.992
    -1.535      0.144     -0.997
    -1.436      0.515     -0.964
    -1.337      0.806     -0.892
    -1.238      0.972     -0.786
    -1.139      0.988     -0.649
    -1.040      0.850     -0.487
    -0.941      0.582     -0.305
    -0.842      0.223     -0.112
    -0.743     -0.170      0.086
    -0.644     -0.537      0.280
    -0.545     -0.821      0.463
    -0.446     -0.978      0.629
    -0.347     -0.983      0.769
    -0.248     -0.836      0.880
    -0.149     -0.560      0.956
    -0.050     -0.197      0.995
     0.050      0.197      0.995
     0.149      0.560      0.956
     0.248      0.836      0.880
     0.347      0.983      0.769
     0.446      0.978      0.629
     0.545      0.821      0.463
     0.644      0.537      0.280
     0.743      0.170      0.086
     0.842     -0.223     -0.112
     0.941     -0.582     -0.305
     1.040     -0.850     -0.487
     1.139     -0.988     -0.649
     1.238     -0.972     -0.786
     1.337     -0.806     -0.892
     1.436     -0.515     -0.964
     1.535     -0.144     -0.997
     1.634      0.249     -0.992
     1.733      0.603     -0.948
     1.832      0.864     -0.867
     1.931      0.991     -0.752
     2.030      0.965     -0.608
     2.129      0.789     -0.439
     2.228      0.492     -0.254
     2.327      0.118     -0.059
     2.426     -0.275      0.139
     2.525     -0.624      0.331
     2.624     -0.877      0.510
     2.723     -0.995      0.669
     2.822     -0.958      0.802
     2.921     -0.773      0.904
     3.020     -0.468      0.970
     3.119     -0.091      0.999
     3.218      0.300      0.988
     3.317      0.645      0.939
     3.416      0.890      0.853
     3.515      0.997      0.734
     3.614      0.950      0.586
     3.713      0.756      0.415
     3.812      0.444      0.228
     3.911      0.064      0.032
     4.010     -0.326     -0.165
     4.109     -0.665     -0.356
     4.208     -0.902     -0.533
     4.307     -0.999     -0.689
     4.406     -0.941     -0.818
     4.505     -0.738     -0.915
     4.604     -0.420     -0.977
     4.703     -0.038     -1.000
     4.802      0.351     -0.984
     4.901      0.685     -0.930
         x       f(x)       g(x)
    -5.000     -0.913     -0.760
    -4.901     -0.685     -0.536
    -4.802     -0.351     -0.266
    -4.703      0.038      0.028
    -4.604      0.420      0.320
    -4.505      0.738      0.583
    -4.406      0.941      0.795
    -4.307      0.999      0.938
    -4.208      0.902      0.998
    -4.109      0.665      0.971
    -4.010      0.326      0.859
    -3.911     -0.064      0.672
    -3.812     -0.444      0.426
    -3.713     -0.756      0.143
    -3.614     -0.950     -0.153
    -3.515     -0.997     -0.436
    -3.416     -0.890     -0.680
    -3.317     -0.645     -0.865
    -3.218     -0.300     -0.974
    -3.119      0.091     -0.998
    -3.020      0.468     -0.934
    -2.921      0.773     -0.789
    -2.822      0.958     -0.574
    -2.723      0.995     -0.309
    -2.624      0.877     -0.017
    -2.525      0.624      0.276
    -2.426      0.275      0.545
    -2.327     -0.118      0.767
    -2.228     -0.492      0.921
    -2.129     -0.789      0.995
    -2.030     -0.965      0.981
    -1.931     -0.991      0.882
    -1.832     -0.864      0.705
    -1.733     -0.603      0.467
    -1.634     -0.249      0.187
    -1.535      0.144     -0.108
    -1.436      0.515     -0.394
    -1.337      0.806     -0.646
    -1.238      0.972     -0.841
    -1.139      0.988     -0.963
    -1.040      0.850     -1.000
    -0.941      0.582     -0.949
    -0.842      0.223     -0.816
    -0.743     -0.170     -0.611
    -0.644     -0.537     -0.352
    -0.545     -0.821     -0.063
    -0.446     -0.978      0.232
    -0.347     -0.983      0.507
    -0.248     -0.836      0.737
    -0.149     -0.560      0.902
    -0.050     -0.197      0.989
     0.050      0.197      0.989
     0.149      0.560      0.902
     0.248      0.836      0.737
     0.347      0.983      0.507
     0.446      0.978      0.232
     0.545      0.821     -0.063
     0.644      0.537     -0.352
     0.743      0.170     -0.611
     0.842     -0.223     -0.816
     0.941     -0.582     -0.949
     1.040     -0.850     -1.000
     1.139     -0.988     -0.963
     1.238     -0.972     -0.841
     1.337     -0.806     -0.646
     1.436     -0.515     -0.394
     1.535     -0.144     -0.108
     1.634      0.249      0.187
     1.733      0.603      0.467
     1.832      0.864      0.705
     1.931      0.991      0.882
     2.030      0.965      0.981
     2.129      0.789      0.995
     2.228      0.492      0.921
     2.327      0.118      0.767
     2.426     -0.275      0.545
     2.525     -0.624      0.276
     2.624     -0.877     -0.017
     2.723     -0.995     -0.309
     2.822     -0.958     -0.574
     2.921     -0.773     -0.789
     3.020     -0.468     -0.934
     3.119     -0.091     -0.998
     3.218      0.300     -0.974
     3.317      0.645     -0.865
     3.416      0.890     -0.680
     3.515      0.997     -0.436
     3.614      0.950     -0.153
     3.713      0.756      0.143
     3.812      0.444      0.426
     3.911      0.064      0.672
     4.010     -0.326      0.859
     4.109     -0.665      0.971
     4.208     -0.902      0.998
     4.307     -0.999      0.938
     4.406     -0.941      0.795
     4.505     -0.738      0.583
     4.604     -0.420      0.320
     4.703     -0.038      0.028
     4.802      0.351     -0.266
     4.901      0.685     -0.536
         x       f(x)       g(x)
    -5.000     -0.913      0.408
    -4.901     -0.685      0.729
    -4.802     -0.351      0.936
    -4.703      0.038      0.999
    -4.604      0.420      0.907
    -4.505      0.738      0.675
    -4.406      0.941      0.338
    -4.307      0.999     -0.051
    -4.208      0.902     -0.432
    -4.109      0.665     -0.747
    -4.010      0.326     -0.946
    -3.911     -0.064     -0.998
    -3.812     -0.444     -0.896
    -3.713     -0.756     -0.655
    -3.614     -0.950     -0.313
    -3.515     -0.997      0.078
    -3.416     -0.890      0.456
    -3.317     -0.645      0.764
    -3.218     -0.300      0.954
    -3.119      0.091      0.996
    -3.020      0.468      0.884
    -2.921      0.773      0.635
    -2.822      0.958      0.287
    -2.723      0.995     -0.104
    -2.624      0.877     -0.480
    -2.525      0.624     -0.781
    -2.426      0.275     -0.962
    -2.327     -0.118     -0.993
    -2.228     -0.492     -0.871
    -2.129     -0.789     -0.614
    -2.030     -0.965     -0.262
    -1.931     -0.991      0.131
    -1.832     -0.864      0.503
    -1.733     -0.603      0.798
    -1.634     -0.249      0.969
    -1.535      0.144      0.990
    -1.436      0.515      0.857
    -1.337      0.806      0.592
    -1.238      0.972      0.236
    -1.139      0.988     -0.157
    -1.040      0.850     -0.526
    -0.941      0.582     -0.813
    -0.842      0.223     -0.975
    -0.743     -0.170     -0.985
    -0.644     -0.537     -0.843
    -0.545     -0.821     -0.571
    -0.446     -0.978     -0.210
    -0.347     -0.983      0.184
    -0.248     -0.836      0.549
    -0.149     -0.560      0.829
    -0.050     -0.197      0.980
     0.050      0.197      0.980
     0.149      0.560      0.829
     0.248      0.836      0.549
     0.347      0.983      0.184
     0.446      0.978     -0.210
     0.545      0.821     -0.571
     0.644      0.537     -0.843
     0.743      0.170     -0.985
     0.842     -0.223     -0.975
     0.941     -0.582     -0.813
     1.040     -0.850     -0.526
     1.139     -0.988     -0.157
     1.238     -0.972      0.236
     1.337     -0.806      0.592
     1.436     -0.515      0.857
     1.535     -0.144      0.990
     1.634      0.249      0.969
     1.733      0.603      0.798
     1.832      0.864      0.503
     1.931      0.991      0.131
     2.030      0.965     -0.262
     2.129      0.789     -0.614
     2.228      0.492     -0.871
     2.327      0.118     -0.993
     2.426     -0.275     -0.962
     2.525     -0.624     -0.781
     2.624     -0.877     -0.480
     2.723     -0.995     -0.104
     2.822     -0.958      0.287
     2.921     -0.773      0.635
     3.020     -0.468      0.884
     3.119     -0.091      0.996
     3.218      0.300      0.954
     3.317      0.645      0.764
     3.416      0.890      0.456
     3.515      0.997      0.078
